name	category_id	channel_id	use	use_2ch	use_all
'H2B_DItot'	1	1	0	1	1
'H2B_DIav'	1	1	0	1	1
'H2B_DI5'	1	1	0	1	1
'H2B_DI20'	1	1	0	1	1
'H2B_DI50'	1	1	0	1	1
'H2B_DI80'	1	1	0	1	1
'H2B_DI95'	1	1	0	1	1
'H2B_CItot'	1	1	0	1	1
'H2B_CIav'	1	1	0	1	1
'H2B_CI5'	1	1	0	1	1
'H2B_CI20'	1	1	0	1	1
'H2B_CI50'	1	1	0	1	1
'H2B_CI80'	1	1	0	1	1
'H2B_CI95'	1	1	0	1	1
'H2B_YItot'	1	1	0	1	1
'H2B_YIav'	1	1	0	1	1
'H2B_YI5'	1	1	0	1	1
'H2B_YI20'	1	1	0	1	1
'H2B_YI50'	1	1	0	1	1
'H2B_YI80'	1	1	0	1	1
'H2B_YI95'	1	1	0	1	1
'H2B_RDCItot'	1	1	0	1	1
'H2B_RDCIav'	1	1	0	1	1
'H2B_RDCI50'	1	1	0	1	1
'H2B_RDYItot'	1	1	0	1	1
'H2B_RDYIav'	1	1	0	1	1
'H2B_RDYI50'	1	1	0	1	1
'H2B_RYCItot'	1	1	0	1	1
'H2B_RYCIav'	1	1	0	1	1
'H2B_RYCI50'	1	1	0	1	1
'SET_DItot'	1	2	1	0	1
'SET_DIav'	1	2	1	0	1
'SET_DI5'	1	2	1	0	1
'SET_DI20'	1	2	1	0	1
'SET_DI50'	1	2	1	0	1
'SET_DI80'	1	2	1	0	1
'SET_DI95'	1	2	1	0	1
'SET_CItot'	1	2	1	0	1
'SET_CIav'	1	2	1	0	1
'SET_CI5'	1	2	1	0	1
'SET_CI20'	1	2	1	0	1
'SET_CI50'	1	2	1	0	1
'SET_CI80'	1	2	1	0	1
'SET_CI95'	1	2	1	0	1
'SET_YItot'	1	2	1	0	1
'SET_YIav'	1	2	1	0	1
'SET_YI5'	1	2	1	0	1
'SET_YI20'	1	2	1	0	1
'SET_YI50'	1	2	1	0	1
'SET_YI80'	1	2	1	0	1
'SET_YI95'	1	2	1	0	1
'SET_RDCItot'	1	2	1	0	1
'SET_RDCIav'	1	2	1	0	1
'SET_RDCI50'	1	2	1	0	1
'SET_RDYItot'	1	2	1	0	1
'SET_RDYIav'	1	2	1	0	1
'SET_RDYI50'	1	2	1	0	1
'SET_RYCItot'	1	2	1	0	1
'SET_RYCIav'	1	2	1	0	1
'SET_RYCI50'	1	2	1	0	1
'CYTO_DItot'	1	3	0	1	1
'CYTO_DIav'	1	3	0	1	1
'CYTO_DI5'	1	3	0	1	1
'CYTO_DI20'	1	3	0	1	1
'CYTO_DI50'	1	3	0	1	1
'CYTO_DI80'	1	3	0	1	1
'CYTO_DI95'	1	3	0	1	1
'CYTO_CItot'	1	3	0	1	1
'CYTO_CIav'	1	3	0	1	1
'CYTO_CI5'	1	3	0	1	1
'CYTO_CI20'	1	3	0	1	1
'CYTO_CI50'	1	3	0	1	1
'CYTO_CI80'	1	3	0	1	1
'CYTO_CI95'	1	3	0	1	1
'CYTO_YItot'	1	3	0	1	1
'CYTO_YIav'	1	3	0	1	1
'CYTO_YI5'	1	3	0	1	1
'CYTO_YI20'	1	3	0	1	1
'CYTO_YI50'	1	3	0	1	1
'CYTO_YI80'	1	3	0	1	1
'CYTO_YI95'	1	3	0	1	1
'CYTO_RDCItot'	1	3	0	1	1
'CYTO_RDCIav'	1	3	0	1	1
'CYTO_RDCI50'	1	3	0	1	1
'CYTO_RDYItot'	1	3	0	1	1
'CYTO_RDYIav'	1	3	0	1	1
'CYTO_RDYI50'	1	3	0	1	1
'CYTO_RYCItot'	1	3	0	1	1
'CYTO_RYCIav'	1	3	0	1	1
'CYTO_RYCI50'	1	3	0	1	1
'H2BSET_RDItot'	1	"[1,2]"	0	0	1
'H2BSET_RDI50'	1	"[1,2]"	0	0	1
'H2BSET_RCItot'	1	"[1,2]"	0	0	1
'H2BSET_RCI50'	1	"[1,2]"	0	0	1
'H2BSET_RYItot'	1	"[1,2]"	0	0	1
'H2BSET_RYI50'	1	"[1,2]"	0	0	1
'H2BCYTO_RDItot'	1	"[1,3]"	0	1	1
'H2BCYTO_RDI50'	1	"[1,3]"	0	1	1
'H2BCYTO_RCItot'	1	"[1,3]"	0	1	1
'H2BCYTO_RCI50'	1	"[1,3]"	0	1	1
'H2BCYTO_RYItot'	1	"[1,3]"	0	1	1
'H2BCYTO_RYI50'	1	"[1,3]"	0	1	1
'SETCYTO_RDItot'	1	"[2,3]"	0	0	1
'SETCYTO_RDI50'	1	"[2,3]"	0	0	1
'SETCYTO_RCItot'	1	"[2,3]"	0	0	1
'SETCYTO_RCI50'	1	"[2,3]"	0	0	1
'SETCYTO_RYItot'	1	"[2,3]"	0	0	1
'SETCYTO_RYI50'	1	"[2,3]"	0	0	1
'object_number_in_cell_region'	2	1	0	1	1
'mean_object_area_in_cell_region'	2	1	0	1	1
'stddev_object_area_in_cell_region'	2	1	0	1	1
'coeff_variance_area_in_cell_region'	2	1	0	1	1
'max_to_min_object_area_ratio_in_cell_region'	2	1	0	1	1
'mean_object_eccentricity_in_cell_region'	2	1	0	1	1
